id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;visible;ordering
49;25;1;38;basic;0;;47;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,50,51,52,53,59,60,61,63,67,72,73,74,76,77,78,79,80,105,106,107,108,111,112,115,116,117,119;;medalBased;1;9;Želví experimentárium;;zelvi-grafika-experimentarium;<xml id="toolbox" style="display: none">   <variables>    <variable type="">x</variable>    <variable type="">y</variable>  </variables>    <category name="Pohyb">      <block type="draw_move">          <value name="VALUE">            <block type="math_number">              <title name="NUM">100</title>            </block>          </value>        </block>        <block type="draw_turn">          <value name="VALUE">            <block type="math_number">              <title name="NUM">90</title>            </block>          </value>        </block>     </category>    <category name="Pero">        <block type="draw_pen"></block>        <block type="draw_width">          <value name="WIDTH">            <block type="math_number">              <title name="NUM">2</title>            </block>          </value>        </block>        <block type="draw_colour"><value name="COLOUR"><block type="colour_picker"></block></value></block></category>    <category name="Opakování">  <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">4</field>          </block>        </value>      </block>   <block type="controls_whileUntil">      <field name="MODE">WHILE</field>    </block></category><category name="Proměnné">  <block type="variables_set">    <field name="VAR" variabletype="">x</field>  </block>  <block type="variables_set">    <field name="VAR" variabletype="">y</field>  </block>  <block type="math_change">    <field name="VAR" variabletype="">x</field>  </block>  <block type="math_change">    <field name="VAR" variabletype="">y</field>  </block>  <block type="variables_get">    <field name="VAR" variabletype="">x</field>  </block>  <block type="variables_get">    <field name="VAR" variabletype="">y</field>  </block>   <block type="math_number">      <field name="NUM">0</field>    </block>    <block type="math_arithmetic">      <field name="OP">ADD</field>      <value name="A">        <shadow type="math_number">          <field name="NUM">1</field>        </shadow>      </value>      <value name="B">        <shadow type="math_number">          <field name="NUM">1</field>        </shadow>      </value>    </block></category> <category name="Podmínky"> <block type="controls_if"></block><block type="controls_if">    <mutation else="1"></mutation>  </block>    <block type="logic_compare">      <field name="OP">EQ</field>    </block>  <block type="logic_operation">      <field name="OP">AND</field>    </block>    <block type="logic_negate"></block>  </category> <category name="Funkce" custom="PROCEDURE">  </category></xml>;1;20
50;18;1;35;basic;0;;18;51;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;;;interaktivni-python-logicke-vyrazy;;1;1
51;23;1;35;basic;0;;50;52;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;;;interaktivni-python-if;;1;2
52;4;1;35;basic;0;;51;33;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;;;interaktivni-python-for;;1;3
53;25;1;43;basic;0;;;;5,6,47,49,59,69,76,77,108,117;;medalBased;1;8;Základy;;python-zelvi-grafika-zaklady;;1;0
54;26;1;39;basic;0;;48;64;48,55,56,58,64;;medalBased;1;2;Sběr hříbků;;sipkovana-jidlo;;1;3
55;26;1;39;basic;0;;64;58;42,48,54,56,58,62,64;;medalBased;1;3;Víc skřítků;;sipkovana-vic-postav;;1;5
56;26;1;39;basic;0;;120;65;42,48,54,55,58,62,64;;medalBased;1;3;Kombinované;;sipkovana-lesni-planovani;;1;9
57;26;1;39;basic;0;;;;;;medalBased;1;0;Lesní záludnosti;;sipkovana-lesni-zaludnosti;;0;2
58;26;1;39;basic;0;;55;62;42,48,54,55,56,62,64;;medalBased;1;3;Pozor na skřeta!;;sipkovana-hlidac;;1;6
